編號,品牌通路,品牌,系列中文名稱,系列英文名稱,中文品名,英文品名,中文簡介,英文簡介,用途,品項,功效,上市日期,規格,販售國家,停產國家,是否限量,產品別名,建立時間,修改時間,是否為口碑之星,是否在前台隱藏,精選文章數,是否上過首頁推薦,產品圖,圖1,圖2,圖3,圖4,圖5,url,顏色
10255-2,開架,MISSHA,底妝系列,,迷炫完美BB霜SPF42/PA+++ NO.21 自然膚色,Perfect Cover BB Cream,一瓶三效，美白、防曬、完美底妝，修飾膚色不均，適合追求自然遮瑕妝效的人，保濕成分讓肌膚持續水潤光澤。,,彩妝品,"BB霜,","保濕,美白,修正膚色,光澤,均勻膚色,防曬,遮瑕,",,"容量:50ml:NT590,","TW, MY",,N,"MISSHA 迷炫完美BB霜,迷炫完美BB霜",2016/11/22,,N,N,3,N,https://pic.pimg.tw/styleme/1479827144-1251660046.jpg,https://pic.pimg.tw/styleme/1481526412-1529891020.jpg,,,,,http://www.watsons.com.tw/迷炫完美bb霜(自然膚色)-spf42-no.21/p/BP_802545,自然膚色

11134,開架,MISSHA,臉部保養系列,,逆轉時光極效夜間活膚安瓶,Time Revolution Night Repair New Science Acvitaor Ampoule,三重科技，還原肌膚能量，後續保養成效再升級。,,保養品,"精華液,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,改善細紋,",,"容量:50ml:NT1170,","TW, MY",,N,"逆轉時光極效夜間活膚安瓶,逆轉時光極效夜間活膚安瓶 missha",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480140995-2687566692.jpg,,,,,,https://tw.mall.yahoo.com/item/MISSHA-逆轉時光極效夜間活膚安瓶-M3996【屈臣氏】-p033039992056,

12211,開架,MISSHA,全效蝸牛系列,,全效蝸牛淨透潔顏乳(新),,細緻綿密的泡沫，溫和卸除深層污垢，並調理分泌過多的油脂，洗臉後清爽不緊繃。,,保養品,"洗顏產品,","清潔,",,"容量:100ml:NT290,","TW, MY",,N,"MISSHA 全效蝸牛淨透潔顏乳(新),全效蝸牛淨透潔顏乳(新)",2016/11/28,,N,Y,,N,https://pic.pimg.tw/styleme/1480339575-2136489855.jpg,,,,,,http://www.watsons.com.tw/missha全效蝸牛淨透潔顏乳(新)/p/BP_590312,

12358-1,開架,MISSHA,唇彩系列,,經典持色水感胭脂唇膏 PK05,Signature Dewy Rouge,韓國影后魅力推薦逸品，持久顯色唇彩輕鬆上色，打造潤澤感十足且光澤度極佳的水亮雙唇。,,彩妝品,"唇膏,","保濕,顯色,",,"容量:3.4g:NT360:RM0,","TW, MY",,N,"MISSHA經典持色水感胭脂唇膏,經典持色水感胭脂唇膏",2016/11/29,,N,N,12,N,https://pic.pimg.tw/styleme/1480413740-254701382.jpg,https://pic.pimg.tw/styleme/1481888898-3353505783.jpg,,,,,http://www.watsons.com.tw/missha經典持色水感胭脂唇膏-pk05/p/BP_401105,桃紅色
12358-2,開架,MISSHA,唇彩系列,,經典持色水感胭脂唇膏 PK03,Signature Dewy Rouge,韓國影后魅力推薦逸品，持久顯色唇彩輕鬆上色，打造潤澤感十足且光澤度極佳的水亮雙唇。,,彩妝品,"唇膏,","保濕,顯色,",,"容量:3.4g:NT360:RM0,","TW, MY",,N,"MISSHA經典持色水感胭脂唇膏,經典持色水感胭脂唇膏",2016/11/29,,N,N,12,N,https://pic.pimg.tw/styleme/1480413740-254701382.jpg,https://pic.pimg.tw/styleme/1481888898-3353505783.jpg,,,,,http://www.watsons.com.tw/missha經典持色水感胭脂唇膏-pk03/p/BP_401100,粉色
12358-3,開架,MISSHA,唇彩系列,,經典持色水感胭脂唇膏 OR01,Signature Dewy Rouge,韓國影后魅力推薦逸品，持久顯色唇彩輕鬆上色，打造潤澤感十足且光澤度極佳的水亮雙唇。,,彩妝品,"唇膏,","保濕,顯色,",,"容量:3.4g:NT360:RM0,","TW, MY",,N,"MISSHA經典持色水感胭脂唇膏,經典持色水感胭脂唇膏",2016/11/29,,N,N,12,N,https://pic.pimg.tw/styleme/1480413740-254701382.jpg,https://pic.pimg.tw/styleme/1481888898-3353505783.jpg,,,,,http://www.watsons.com.tw/missha經典持色水感胭脂唇膏-or01/p/BP_401101,橘色
12358-4,開架,MISSHA,唇彩系列,,經典持色水感胭脂唇膏 RD02,Signature Dewy Rouge,韓國影后魅力推薦逸品，持久顯色唇彩輕鬆上色，打造潤澤感十足且光澤度極佳的水亮雙唇。,,彩妝品,"唇膏,","保濕,顯色,",,"容量:3.4g:NT360:RM0,","TW, MY",,N,"MISSHA經典持色水感胭脂唇膏,經典持色水感胭脂唇膏",2016/11/29,,N,N,12,N,https://pic.pimg.tw/styleme/1480413740-254701382.jpg,https://pic.pimg.tw/styleme/1481888898-3353505783.jpg,,,,,http://www.watsons.com.tw/missha經典持色水感胭脂唇膏-rd02/p/BP_401084,酒紅色
12358-5,開架,MISSHA,唇彩系列,,經典持色水感胭脂唇膏 RD01,Signature Dewy Rouge,韓國影后魅力推薦逸品，持久顯色唇彩輕鬆上色，打造潤澤感十足且光澤度極佳的水亮雙唇。,,彩妝品,"唇膏,","保濕,顯色,",,"容量:3.4g:NT360:RM0,","TW, MY",,N,"MISSHA經典持色水感胭脂唇膏,經典持色水感胭脂唇膏",2016/11/29,,N,N,12,N,https://pic.pimg.tw/styleme/1480413740-254701382.jpg,https://pic.pimg.tw/styleme/1481888898-3353505783.jpg,,,,,http://www.watsons.com.tw/missha經典持色水感胭脂唇膏-rd01/p/BP_401097,紅色

12370,開架,MISSHA,唇彩系列,,一筆上色花瓣咬唇筆-櫻桃紅,Velour Flat Pen Tint,韓系咬唇妝最愛的唇部水色彩，扁平筆頭，智慧型控制筆頭液體濕潤度，咬唇妝瞬間完成。,,彩妝品,"唇膏,","顯色,",,"容量:1ml:NT250:RM0,","TW, MY",,N,"MISSHA 一筆上色花瓣咬唇筆,一筆上色花瓣咬唇筆",2016/11/29,,N,N,2,N,https://pic.pimg.tw/styleme/1480414850-1675613894.jpg,https://pic.pimg.tw/styleme/1481889348-561453912.jpg,,,,,http://www.watsons.com.tw/missha-一筆上色花瓣咬唇筆-櫻桃紅-m4734/p/BP_524963,桃紅色

12484,開架,MISSHA,底妝系列,,輕透裸光粉餅 SPF25 PA++ 明亮膚色,The Style Fitting Wear Powder Pact SPF25 PA++,角鯊烯成分上妝同時鎖水，蜂蜜、椰子等天然提取物，更能抑制油光，同時保持肌膚水潤，好上妝，長時間保持完美妝容。,,彩妝品,"粉餅,","保濕,控油,長效持妝,滋潤,",,"容量:10g:NT450:RM0,","TW, MY",,N,"MISSHA 輕透裸光粉餅,輕透裸光粉餅",2016/11/29,,N,N,3,N,https://pic.pimg.tw/styleme/1488554098-3066939262.png,https://pic.pimg.tw/styleme/1481528275-927738564.jpg,,,,,http://www.watsons.com.tw/輕透裸光-粉餅spf25%EF%BC%8Fpa-(明亮膚色)m2887/p/BP_558160,明亮膚色

